종목코드,종목명,예측일,예측가격
007110,일신석재,2025-06-06 00:00:00,2220.369873046875
007110,일신석재,2025-06-07 00:00:00,2240.92822265625
007110,일신석재,2025-06-08 00:00:00,2254.87109375
007110,일신석재,2025-06-09 00:00:00,2264.7470703125
007110,일신석재,2025-06-10 00:00:00,2272.074462890625
033340,좋은사람들,2025-06-06 00:00:00,910.1305541992188
033340,좋은사람들,2025-06-07 00:00:00,931.1255493164062
033340,좋은사람들,2025-06-08 00:00:00,946.6171875
033340,좋은사람들,2025-06-09 00:00:00,958.6685791015625
033340,좋은사람들,2025-06-10 00:00:00,968.5789184570312
009270,신원,2025-06-06 00:00:00,1807.832763671875
009270,신원,2025-06-07 00:00:00,1811.959228515625
009270,신원,2025-06-08 00:00:00,1814.1099853515625
009270,신원,2025-06-09 00:00:00,1815.0750732421875
009270,신원,2025-06-10 00:00:00,1815.322265625
054180,메디콕스,2025-06-06 00:00:00,253.38613891601562
054180,메디콕스,2025-06-07 00:00:00,253.62310791015625
054180,메디콕스,2025-06-08 00:00:00,255.67892456054688
054180,메디콕스,2025-06-09 00:00:00,258.89056396484375
054180,메디콕스,2025-06-10 00:00:00,262.8294982910156
005930,삼성전자,2025-06-06 00:00:00,57803.05078125
005930,삼성전자,2025-06-07 00:00:00,58126.78125
005930,삼성전자,2025-06-08 00:00:00,58437.52734375
005930,삼성전자,2025-06-09 00:00:00,58739.921875
005930,삼성전자,2025-06-10 00:00:00,59037.16015625
034020,두산에너빌리티,2025-06-06 00:00:00,41423.05078125
034020,두산에너빌리티,2025-06-07 00:00:00,41743.265625
034020,두산에너빌리티,2025-06-08 00:00:00,41920.67578125
034020,두산에너빌리티,2025-06-09 00:00:00,42011.796875
034020,두산에너빌리티,2025-06-10 00:00:00,42050.17578125
032820,우리기술,2025-06-06 00:00:00,2301.62841796875
032820,우리기술,2025-06-07 00:00:00,2308.667236328125
032820,우리기술,2025-06-08 00:00:00,2317.125
032820,우리기술,2025-06-09 00:00:00,2326.437744140625
032820,우리기술,2025-06-10 00:00:00,2336.24267578125
089150,케이씨티,2025-06-06 00:00:00,3424.0732421875
089150,케이씨티,2025-06-07 00:00:00,3464.941650390625
089150,케이씨티,2025-06-08 00:00:00,3489.85009765625
089150,케이씨티,2025-06-09 00:00:00,3505.084716796875
089150,케이씨티,2025-06-10 00:00:00,3514.3974609375
053580,웹케시,2025-06-06 00:00:00,16739.42578125
053580,웹케시,2025-06-07 00:00:00,17234.8671875
053580,웹케시,2025-06-08 00:00:00,17555.142578125
053580,웹케시,2025-06-09 00:00:00,17768.0625
053580,웹케시,2025-06-10 00:00:00,17914.87109375
