종목코드,종목명,예측일,예측가격
003280,흥아해운,2025-06-14 00:00:00,1726.2353515625
003280,흥아해운,2025-06-15 00:00:00,1767.672607421875
003280,흥아해운,2025-06-16 00:00:00,1786.8876953125
003280,흥아해운,2025-06-17 00:00:00,1793.686767578125
003280,흥아해운,2025-06-18 00:00:00,1793.2431640625
005880,대한해운,2025-06-14 00:00:00,1653.1397705078125
005880,대한해운,2025-06-15 00:00:00,1666.908447265625
005880,대한해운,2025-06-16 00:00:00,1672.69189453125
005880,대한해운,2025-06-17 00:00:00,1673.93603515625
005880,대한해운,2025-06-18 00:00:00,1672.495361328125
032820,우리기술,2025-06-14 00:00:00,2334.813720703125
032820,우리기술,2025-06-15 00:00:00,2357.023681640625
032820,우리기술,2025-06-16 00:00:00,2345.265869140625
032820,우리기술,2025-06-17 00:00:00,2315.86474609375
032820,우리기술,2025-06-18 00:00:00,2277.2958984375
152550,한국ANKOR유전,2025-06-14 00:00:00,257.0158996582031
152550,한국ANKOR유전,2025-06-15 00:00:00,264.0897216796875
152550,한국ANKOR유전,2025-06-16 00:00:00,267.8349609375
152550,한국ANKOR유전,2025-06-17 00:00:00,269.72967529296875
152550,한국ANKOR유전,2025-06-18 00:00:00,270.5461730957031
053050,지에스이,2025-06-14 00:00:00,2951.069580078125
053050,지에스이,2025-06-15 00:00:00,2999.984375
053050,지에스이,2025-06-16 00:00:00,3025.198486328125
053050,지에스이,2025-06-17 00:00:00,3037.004638671875
053050,지에스이,2025-06-18 00:00:00,3040.871826171875
024740,한일단조,2025-06-14 00:00:00,2213.73046875
024740,한일단조,2025-06-15 00:00:00,2246.76806640625
024740,한일단조,2025-06-16 00:00:00,2262.53857421875
024740,한일단조,2025-06-17 00:00:00,2268.466552734375
024740,한일단조,2025-06-18 00:00:00,2268.476318359375
002360,SH에너지화학,2025-06-14 00:00:00,459.6192932128906
002360,SH에너지화학,2025-06-15 00:00:00,465.32696533203125
002360,SH에너지화학,2025-06-16 00:00:00,468.0782775878906
002360,SH에너지화학,2025-06-17 00:00:00,469.16998291015625
002360,SH에너지화학,2025-06-18 00:00:00,469.28399658203125
065440,이루온,2025-06-14 00:00:00,1625.040283203125
065440,이루온,2025-06-15 00:00:00,1635.59765625
065440,이루온,2025-06-16 00:00:00,1632.4366455078125
065440,이루온,2025-06-17 00:00:00,1621.304443359375
065440,이루온,2025-06-18 00:00:00,1605.1024169921875
010580,에스엠벡셀,2025-06-14 00:00:00,1373.9945068359375
010580,에스엠벡셀,2025-06-15 00:00:00,1413.119384765625
010580,에스엠벡셀,2025-06-16 00:00:00,1422.40380859375
010580,에스엠벡셀,2025-06-17 00:00:00,1414.8079833984375
010580,에스엠벡셀,2025-06-18 00:00:00,1396.71923828125
