종목코드,종목명,예측일,예측가격
007110,일신석재,2025-06-14 00:00:00,2457.8876953125
007110,일신석재,2025-06-15 00:00:00,2479.700439453125
007110,일신석재,2025-06-16 00:00:00,2489.30615234375
007110,일신석재,2025-06-17 00:00:00,2491.517333984375
007110,일신석재,2025-06-18 00:00:00,2489.258544921875
033340,좋은사람들,2025-06-14 00:00:00,1115.1029052734375
033340,좋은사람들,2025-06-15 00:00:00,1140.849365234375
033340,좋은사람들,2025-06-16 00:00:00,1156.81884765625
033340,좋은사람들,2025-06-17 00:00:00,1166.8018798828125
033340,좋은사람들,2025-06-18 00:00:00,1173.0946044921875
009270,신원,2025-06-14 00:00:00,1811.376220703125
009270,신원,2025-06-15 00:00:00,1812.0745849609375
009270,신원,2025-06-16 00:00:00,1810.79052734375
009270,신원,2025-06-17 00:00:00,1808.3333740234375
009270,신원,2025-06-18 00:00:00,1805.2010498046875
054180,메디콕스,2025-06-14 00:00:00,225.4770050048828
054180,메디콕스,2025-06-15 00:00:00,225.32485961914062
054180,메디콕스,2025-06-16 00:00:00,226.43565368652344
054180,메디콕스,2025-06-17 00:00:00,228.32249450683594
054180,메디콕스,2025-06-18 00:00:00,230.68785095214844
005930,삼성전자,2025-06-14 00:00:00,59205.05859375
005930,삼성전자,2025-06-15 00:00:00,59446.3828125
005930,삼성전자,2025-06-16 00:00:00,59665.1171875
005930,삼성전자,2025-06-17 00:00:00,59869.953125
005930,삼성전자,2025-06-18 00:00:00,60066.1171875
003280,흥아해운,2025-06-14 00:00:00,1691.2265625
003280,흥아해운,2025-06-15 00:00:00,1720.09521484375
003280,흥아해운,2025-06-16 00:00:00,1740.6458740234375
003280,흥아해운,2025-06-17 00:00:00,1756.1256103515625
003280,흥아해운,2025-06-18 00:00:00,1768.5177001953125
005880,대한해운,2025-06-14 00:00:00,1652.137939453125
005880,대한해운,2025-06-15 00:00:00,1666.4644775390625
005880,대한해운,2025-06-16 00:00:00,1678.0614013671875
005880,대한해운,2025-06-17 00:00:00,1687.993896484375
005880,대한해운,2025-06-18 00:00:00,1696.9130859375
032820,우리기술,2025-06-14 00:00:00,2390.74267578125
032820,우리기술,2025-06-15 00:00:00,2417.98974609375
032820,우리기술,2025-06-16 00:00:00,2435.91259765625
032820,우리기술,2025-06-17 00:00:00,2448.11279296875
032820,우리기술,2025-06-18 00:00:00,2456.78955078125
152550,한국ANKOR유전,2025-06-14 00:00:00,257.35711669921875
152550,한국ANKOR유전,2025-06-15 00:00:00,261.2523498535156
152550,한국ANKOR유전,2025-06-16 00:00:00,264.1950378417969
152550,한국ANKOR유전,2025-06-17 00:00:00,266.55828857421875
152550,한국ANKOR유전,2025-06-18 00:00:00,268.5704040527344
053050,지에스이,2025-06-14 00:00:00,2905.6357421875
053050,지에스이,2025-06-15 00:00:00,2941.11279296875
053050,지에스이,2025-06-16 00:00:00,2967.493896484375
053050,지에스이,2025-06-17 00:00:00,2988.32763671875
053050,지에스이,2025-06-18 00:00:00,3005.784423828125
024740,한일단조,2025-06-14 00:00:00,2197.800537109375
024740,한일단조,2025-06-15 00:00:00,2221.47509765625
024740,한일단조,2025-06-16 00:00:00,2239.506103515625
024740,한일단조,2025-06-17 00:00:00,2254.100830078125
024740,한일단조,2025-06-18 00:00:00,2266.608154296875
002360,SH에너지화학,2025-06-14 00:00:00,454.42181396484375
002360,SH에너지화학,2025-06-15 00:00:00,458.1242370605469
002360,SH에너지화학,2025-06-16 00:00:00,460.7393493652344
002360,SH에너지화학,2025-06-17 00:00:00,462.69207763671875
002360,SH에너지화학,2025-06-18 00:00:00,464.2418518066406
065440,이루온,2025-06-14 00:00:00,1606.7767333984375
065440,이루온,2025-06-15 00:00:00,1616.4921875
065440,이루온,2025-06-16 00:00:00,1621.9034423828125
065440,이루온,2025-06-17 00:00:00,1624.694580078125
065440,이루온,2025-06-18 00:00:00,1625.8929443359375
010580,에스엠벡셀,2025-06-14 00:00:00,1332.178466796875
010580,에스엠벡셀,2025-06-15 00:00:00,1356.8082275390625
010580,에스엠벡셀,2025-06-16 00:00:00,1372.0426025390625
010580,에스엠벡셀,2025-06-17 00:00:00,1381.560302734375
010580,에스엠벡셀,2025-06-18 00:00:00,1387.5946044921875
